action_unit_version,arm,encoder_version,environment_metric_abs_error,model_version,mpc_iter,native_same_version_cost_abs_error,native_same_version_cost_online,native_same_version_cost_replay,objective_version,oracle_wall_s,passed,predictor_version,prefix_environment_actions,prefix_model_actions,proprio_max_abs_error,real_history_id,rgb_exact_pixel_match_rate,rgb_max_abs_error,rgb_mean_abs_error,run_id,sample_id,seed,shape,sidecar,state_max_abs_error
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,0,"{""state_dist"": 0.0, ""success"": 0.0}",0,0,0.0,0.7687517404556274,0.7687517404556274,0,0.003967599999999294,True,0,0,0,0.0,s0_history_mpc0,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc0_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,1,"{""state_dist"": 0.0, ""success"": 0.0}",1,1,0.0,0.5076594352722168,0.5076594352722168,0,0.021327299999999383,True,1,5,1,0.0,s0_history_mpc1,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc1_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,2,"{""state_dist"": 0.0, ""success"": 0.0}",2,2,0.0,0.28032028675079346,0.28032028675079346,0,0.035598999999997716,True,2,10,2,0.0,s0_history_mpc2,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc2_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,3,"{""state_dist"": 0.0, ""success"": 0.0}",3,3,0.0,0.14120818674564362,0.14120818674564362,0,0.05449769999999887,True,3,15,3,0.0,s0_history_mpc3,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc3_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,4,"{""state_dist"": 0.0, ""success"": 0.0}",4,4,0.0,0.11157406121492386,0.11157406121492386,0,0.0665805000000006,True,4,20,4,0.0,s0_history_mpc4,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc4_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,5,"{""state_dist"": 0.0, ""success"": 0.0}",5,5,0.0,0.11343424022197723,0.11343424022197723,0,0.08284929999999946,True,5,25,5,0.0,s0_history_mpc5,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc5_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,6,"{""state_dist"": 0.0, ""success"": 0.0}",6,6,0.0,0.04537954553961754,0.04537954553961754,0,0.10351659999999896,True,6,30,6,0.0,s0_history_mpc6,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc6_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,7,"{""state_dist"": 0.0, ""success"": 0.0}",7,7,0.0,0.019929924979805946,0.019929924979805946,0,0.11820829999999205,True,7,35,7,0.0,s0_history_mpc7,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc7_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,8,"{""state_dist"": 0.0, ""success"": 0.0}",8,8,0.0,0.02761930599808693,0.02761930599808693,0,0.12287699999998836,True,8,40,8,0.0,s0_history_mpc8,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc8_anchor.npz,0.0
pushobj_norm_envapi_v1,OFFICIAL_ADAJEPA,9,"{""state_dist"": 0.0, ""success"": 0.0}",9,9,0.0,0.0215347558259964,0.0215347558259964,0,0.13670050000000344,True,9,45,9,0.0,s0_history_mpc9,1.0,0,0.0,dev_valT_official_n3,0,1,T,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_T_official_n3_attempt2\oracle\sample_000\s0_history_mpc9_anchor.npz,0.0
