arm,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae,sample_id,seed
FROZEN,square,100,1,contrast (repeated within episode; not independent samples),0.0019574651401489973,0.005619237906610967,-0.10605546834173189,0.42,35,0.35,78,0.44871794871794873,1e-06,0.51,22,0.22,51,0.43137254901960786,0.004012153809890151,0.004697074368596077,0.016627401113510132,0.0,0,1
FROZEN,square,30,1,contrast (repeated within episode; not independent samples),0.048988465836737306,0.1265183557442258,-0.20716510903426796,0.4,10,0.3333333333333333,20,0.5,1e-06,0.4666666666666667,9,0.3,14,0.6428571428571429,0.013899317383766175,0.05243113363394514,0.02483922243118286,0.0,1,101
FROZEN,square,100,1,contrast (repeated within episode; not independent samples),0.004457452774513513,0.016361375291319608,-0.029205337561537165,0.53,24,0.24,69,0.34782608695652173,1e-06,0.45,14,0.14,34,0.4117647058823529,0.006993895114865154,0.01008237509522587,0.041478872299194336,0.0,2,201
FROZEN,square,100,1,contrast (repeated within episode; not independent samples),0.02723927886225283,0.166787944033653,-0.14497833557694986,0.5,25,0.25,75,0.3333333333333333,1e-06,0.54,21,0.21,48,0.4375,0.025768956756219267,0.010978822438046336,0.18333503603935242,0.0,3,301
FROZEN,square,100,1,contrast (repeated within episode; not independent samples),0.002844184171408415,0.01103595334394988,-0.1268533571702312,0.43,49,0.49,100,0.49,1e-06,0.58,38,0.38,80,0.475,0.007084338758140803,0.005918645709753037,0.03523561358451843,0.0,4,401
OFFICIAL_ADAJEPA,square,100,1,contrast (repeated within episode; not independent samples),0.0019915788155049088,0.0060377926716186385,0.28046599325484123,0.53,35,0.35,85,0.4117647058823529,1e-06,0.61,26,0.26,64,0.40625,0.004009830625727772,0.004994720034301281,0.023253142833709717,1.976471394300461e-05,0,1
OFFICIAL_ADAJEPA,square,30,1,contrast (repeated within episode; not independent samples),0.0682574504520744,0.1724276860748023,-0.36481975967957286,0.4,13,0.43333333333333335,25,0.52,1e-06,0.43333333333333335,10,0.3333333333333333,17,0.5882352941176471,0.01236656882489721,0.07266827463172376,0.6951361298561096,0.00038367824939390026,1,101
OFFICIAL_ADAJEPA,square,25,1,contrast (repeated within episode; not independent samples),0.014363173916935921,0.03192468939486565,-0.019999999999999997,0.44,10,0.4,22,0.45454545454545453,1e-06,0.6,7,0.28,16,0.4375,0.023166694119572638,0.036672915667295455,0.041478872299194336,0.00012363441288471222,2,201
OFFICIAL_ADAJEPA,square,100,1,contrast (repeated within episode; not independent samples),0.024373240335844457,0.16235240061954623,0.20414084888229028,0.48,35,0.35,72,0.4861111111111111,1e-06,0.62,20,0.2,45,0.4444444444444444,0.023675967832095923,0.006673780055716633,0.030174732208251953,8.637238759547472e-05,3,301
OFFICIAL_ADAJEPA,square,100,1,contrast (repeated within episode; not independent samples),0.0058058263175189495,0.018157718772124982,0.08695717419750411,0.36,54,0.54,91,0.5934065934065934,1e-06,0.5,47,0.47,75,0.6266666666666667,0.00912270350381732,0.008622444197535516,0.0998799204826355,2.9272288084030152e-05,4,401
PREDICTOR_ONLY,square,100,1,contrast (repeated within episode; not independent samples),0.0015567946434020996,0.004476908012465427,0.2711935639497084,0.55,36,0.36,89,0.4044943820224719,1e-06,0.62,25,0.25,63,0.3968253968253968,0.0037745409086346626,0.004185336157679558,0.006624132394790649,0.0,0,1
PREDICTOR_ONLY,square,100,1,contrast (repeated within episode; not independent samples),0.021317056216066704,0.10768119471104853,0.3044435776870221,0.57,33,0.33,69,0.4782608695652174,1e-06,0.63,22,0.22,43,0.5116279069767442,0.005016431595431641,0.022742883267346768,0.6975286602973938,0.0,1,101
PREDICTOR_ONLY,square,100,1,contrast (repeated within episode; not independent samples),0.004370443434454501,0.015706042616567426,0.1895429151075943,0.51,36,0.36,70,0.5142857142857142,1e-06,0.58,25,0.25,44,0.5681818181818182,0.007004815484397114,0.010415475298650563,0.041478872299194336,0.0,2,201
PREDICTOR_ONLY,square,100,1,contrast (repeated within episode; not independent samples),0.026451519783586265,0.16376330735384084,0.35826153894098667,0.61,29,0.29,76,0.3815789473684211,1e-06,0.68,18,0.18,51,0.35294117647058826,0.02573253622278571,0.010473497007042169,0.024046897888183594,0.0,3,301
PREDICTOR_ONLY,square,100,1,contrast (repeated within episode; not independent samples),0.005083658806979656,0.0164882109916027,0.2354392638690087,0.49,42,0.42,91,0.46153846153846156,1e-06,0.62,35,0.35,74,0.47297297297297297,0.008688825406134129,0.007817072719335556,0.09023356437683105,0.0,4,401
